unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,income,expect_foreclosure,use_credit_cards,weight,EST_ST
2.0,1.0,7,1,2,300.0,0.0,3.0,9.0,1.0,77.0,,3.0,0.0,77.0,,108.61604004,11
2.0,1.0,7,1,1,155.0,40.0,2.0,9.0,77.0,1.0,77.0,5.0,0.0,,1.0,57.213239253,11
2.0,1.0,7,1,1,100.0,150.0,3.0,3.0,1.0,77.0,,8.0,8360.09032926921,77.0,1.0,590.08067835,11
2.0,1.0,4,1,2,95.0,80.0,3.0,9.0,1.0,77.0,,4.0,3216.1848712233914,77.0,,252.89593777,11
1.0,1.0,6,1,1,200.0,50.0,2.0,2.0,77.0,1.0,77.0,,0.0,,,150.17999935,11
2.0,1.0,7,1,1,300.0,250.0,2.0,3.0,77.0,1.0,77.0,6.0,2139.6506473710674,,,80.389594947,11
1.0,2.0,4,1,2,150.0,100.0,2.0,2.0,77.0,1.0,77.0,,0.0,,,81.006254031,11
2.0,1.0,4,1,1,200.0,200.0,1.0,9.0,77.0,77.0,77.0,8.0,0.0,77.0,,57.436265081,11
2.0,1.0,4,1,1,150.0,100.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,86.974946465,11
1.0,1.0,4,1,2,350.0,0.0,3.0,7.0,2.0,77.0,4.0,2.0,0.0,77.0,,81.006254031,11
2.0,1.0,7,1,1,200.0,140.0,2.0,2.0,77.0,1.0,77.0,,1752.6070474319217,,1.0,55.157586462,11
1.0,2.0,6,1,2,150.0,0.0,2.0,3.0,77.0,1.0,77.0,3.0,16462.814425727265,,1.0,133.76810475,11
2.0,1.0,4,1,2,150.0,20.0,3.0,6.0,1.0,77.0,,1.0,0.0,77.0,,256.78216107,11
1.0,1.0,3,1,2,400.0,100.0,3.0,7.0,1.0,77.0,,2.0,11933.987657632784,77.0,,549.59231247,11
2.0,1.0,7,1,1,150.0,300.0,2.0,2.0,77.0,1.0,77.0,8.0,1097.487740997863,,,55.157586462,11
1.0,2.0,5,1,1,,,,,77.0,77.0,77.0,,0.0,77.0,,62.916097367,11
1.0,1.0,6,1,1,50.0,0.0,3.0,9.0,1.0,77.0,,6.0,9547.585857718654,77.0,1.0,167.5928172,11
2.0,1.0,7,1,1,125.0,0.0,1.0,3.0,77.0,77.0,77.0,6.0,6388.778962771566,77.0,,52.742529497,11
1.0,2.0,6,1,1,350.0,50.0,4.0,2.0,77.0,77.0,77.0,5.0,0.0,77.0,,282.17409109,11
2.0,1.0,7,1,1,100.0,20.0,3.0,4.0,1.0,77.0,,7.0,1370.621152472353,77.0,,80.389594947,11
2.0,1.0,7,1,1,200.0,200.0,2.0,3.0,77.0,1.0,77.0,8.0,0.0,,,87.829654772,11
2.0,1.0,5,1,3,,,,,77.0,77.0,77.0,,9223.32724635758,77.0,,234.07046623,11
1.0,1.0,7,1,1,100.0,0.0,3.0,9.0,1.0,77.0,,5.0,0.0,77.0,1.0,51.796716957,11
2.0,1.0,7,1,1,250.0,50.0,2.0,3.0,77.0,1.0,77.0,7.0,877.4742634698239,,,54.069355693,11
1.0,1.0,7,1,1,115.0,30.0,3.0,9.0,1.0,77.0,,6.0,6783.761389139937,77.0,,56.538982314,11
2.0,1.0,7,1,1,200.0,100.0,3.0,7.0,1.0,77.0,,4.0,2475.4036809215017,77.0,1.0,55.157586462,11
2.0,1.0,6,1,1,150.0,45.0,,,77.0,77.0,77.0,,5484.563941575602,77.0,,167.5928172,11
2.0,2.0,4,1,2,200.0,30.0,3.0,9.0,2.0,77.0,2.0,6.0,3020.204443022872,77.0,1.0,490.65458943,11
2.0,1.0,7,1,3,350.0,50.0,3.0,9.0,1.0,77.0,,1.0,4028.7851142823997,77.0,1.0,111.40449979,11
2.0,1.0,7,1,1,200.0,0.0,2.0,2.0,77.0,1.0,77.0,8.0,0.0,,,40.414232465,11
2.0,2.0,3,1,2,,,,,77.0,77.0,77.0,,0.0,77.0,,762.46048398,11
2.0,2.0,1,1,2,,20.0,1.0,3.0,77.0,77.0,77.0,6.0,20448.56470390843,77.0,,721.08245031,11
2.0,1.0,7,1,3,60.0,12.0,1.0,7.0,77.0,77.0,77.0,5.0,0.0,77.0,,138.63335259,11
2.0,1.0,6,1,1,100.0,20.0,2.0,3.0,77.0,1.0,77.0,7.0,0.0,,,52.742529497,11
2.0,1.0,7,1,1,,,,,77.0,77.0,77.0,,4110.947333557453,77.0,,87.829654772,11
2.0,1.0,7,1,1,150.0,25.0,2.0,6.0,77.0,1.0,77.0,7.0,0.0,,,55.157586462,11
2.0,1.0,6,1,1,300.0,150.0,2.0,9.0,77.0,1.0,77.0,8.0,0.0,,1.0,93.047593504,11
2.0,2.0,7,1,1,250.0,250.0,1.0,3.0,77.0,77.0,77.0,,0.0,77.0,1.0,342.45641261,11
2.0,1.0,7,1,4,75.0,20.0,2.0,3.0,77.0,1.0,77.0,7.0,26205.065650514476,,,869.20065213,11
2.0,1.0,7,1,1,200.0,200.0,3.0,9.0,1.0,77.0,,8.0,8763.855478147665,77.0,1.0,87.829654772,11
1.0,1.0,6,1,1,,,,,77.0,77.0,77.0,,617.1139919703816,77.0,,52.742529497,11
2.0,1.0,6,1,1,400.0,100.0,1.0,2.0,77.0,77.0,77.0,8.0,0.0,77.0,,93.047593504,11
2.0,1.0,5,1,1,150.0,250.0,3.0,3.0,1.0,77.0,,5.0,7565.088212128889,77.0,1.0,62.916097367,11
1.0,1.0,7,1,1,150.0,500.0,2.0,2.0,77.0,1.0,77.0,8.0,0.0,,,55.806555255,11
2.0,1.0,7,1,1,,,,,77.0,77.0,77.0,,11028.92086941906,77.0,,80.389594947,11
1.0,1.0,7,1,1,200.0,130.0,3.0,9.0,1.0,77.0,,5.0,0.0,77.0,,80.389594947,11
2.0,1.0,7,1,1,150.0,30.0,2.0,9.0,77.0,1.0,77.0,8.0,0.0,,1.0,189.07722689,11
1.0,1.0,7,1,1,300.0,80.0,2.0,2.0,77.0,1.0,77.0,8.0,2855.075052990014,,1.0,55.806555255,11
2.0,1.0,7,1,1,600.0,100.0,2.0,2.0,77.0,1.0,77.0,8.0,11119.21057953404,,,87.829654772,11
1.0,1.0,7,1,1,140.0,50.0,2.0,2.0,77.0,1.0,77.0,7.0,0.0,,,51.796716957,11
2.0,1.0,6,2,4,100.0,50.0,3.0,3.0,1.0,77.0,,6.0,11026.995369638782,77.0,1.0,140.83504915,11
