unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,1,7,1,1,50.0,100.0,1,4,77,77,77,5,77,1,93.047593504
2,1,6,1,2,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,114.54682373
2,1,6,1,1,0.0,70.0,2,3,77,1,77,5,3,1,55.806555255
1,1,7,1,1,140.0,79.0,3,9,1,77,2,5,77,1,308.72544026
1,1,7,1,1,150.0,50.0,2,7,77,1,77,6,3,1,57.77454569
2,1,7,1,1,400.0,75.0,2,8,77,1,77,8,3,1,93.047593504
2,1,6,1,2,400.0,150.0,2,8,77,1,77,6,3,1,298.66076603
1,1,7,1,2,400.0,100.0,3,9,1,77,2,6,77,1,74.386360892
2,1,4,1,2,90.0,120.0,3,9,1,77,2,2,77,1,145.67257955
1,2,3,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,496.83719384
1,2,1,2,4,40.0,40.0,3,9,1,77,2,2,77,1,420.19404469
2,1,6,1,1,250.0,50.0,2,3,77,1,77,8,3,1,55.157586462
2,1,7,1,2,182.53812737488647,76.36258798369182,1,3,77,77,77,5,77,1,107.8796218
2,2,7,1,1,145.86700294241987,0.0,1,2,77,77,77,5,77,1,80.389594947
2,2,7,1,1,140.0,34.0,2,3,77,1,77,6,3,1,56.538982314
2,2,6,1,1,250.0,40.0,1,9,77,77,77,6,77,1,80.389594947
1,2,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,40.414232465
1,2,6,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,108.61604004
2,1,7,1,1,50.0,35.0,2,9,77,1,77,5,2,1,55.806555255
2,2,4,1,1,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,143.07152929
2,1,4,1,2,100.0,0.0,3,7,1,77,2,1,77,1,174.83785779
2,1,7,1,3,11.0,75.0,2,3,77,1,77,8,3,1,109.52223174
1,1,7,1,2,200.0,50.0,2,9,77,1,77,5,2,1,133.76810475
2,1,4,2,4,100.0,25.0,3,3,1,77,3,5,77,1,109.47102796
2,1,6,1,1,100.0,40.0,2,3,77,1,77,8,3,1,938.04260833
2,1,7,1,1,60.0,40.0,2,3,77,1,77,7,3,1,51.796716957
1,1,6,1,1,500.0,150.0,2,2,77,1,77,6,3,1,93.047593504
2,2,3,1,2,200.0,0.0,1,4,77,77,77,5,77,1,762.46048398
1,1,6,1,1,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,55.157586462
1,1,7,1,1,186.50878955549945,80.75489671399761,1,3,77,77,77,5,77,1,150.17999935
1,2,3,1,2,100.0,35.0,1,4,77,77,77,5,77,1,721.08245031
2,1,6,1,1,200.0,0.0,1,9,77,77,77,7,77,1,80.389594947
1,2,3,1,2,400.0,0.0,3,5,1,77,2,1,77,1,738.93752621
2,2,3,1,2,250.0,100.0,1,4,77,77,77,5,77,1,616.04287811
1,1,7,1,1,150.0,40.0,3,9,1,77,2,8,77,1,52.742529497
2,2,7,1,3,5.0,0.0,1,9,77,77,77,1,77,1,685.9992645
1,1,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,52.742529497
2,2,7,1,1,300.0,100.0,1,2,77,77,77,8,77,1,56.538982314
2,1,6,1,1,150.0,250.0,3,9,2,77,2,5,77,1,55.157586462
2,1,7,1,1,100.0,70.0,2,9,77,1,77,8,2,1,87.829654772
1,1,7,1,2,300.0,200.0,2,3,77,1,77,6,3,1,133.76810475
2,1,7,1,1,100.0,50.0,2,3,77,1,77,6,3,1,54.069355693
2,1,6,2,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,78.319906896
1,2,4,1,2,320.0,175.0,3,6,2,77,2,1,77,1,232.13375704
2,2,4,1,2,110.0,0.0,2,3,77,1,77,5,3,1,183.87281211
2,1,6,2,1,55.0,0.0,3,8,1,77,3,5,77,1,76.996629478
1,2,5,1,4,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,150.97080221
2,2,7,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,80.389594947
